,Code,Area,Region,country,international_in_total,international_net_total,Pct_Turnout,Pct_Remain,Pct_Leave,Estimated Population mid-2015
0,E06000001,Hartlepool,North East,E,2524.0,546.0,65.59,30.43,69.57,92493
1,E06000002,Middlesbrough,North East,E,15883.0,8376.0,64.89,34.52,65.48,139509
2,E06000003,Redcar and Cleveland,North East,E,3501.0,40.0,70.26,33.81,66.19,135275
3,E06000004,Stockton-on-Tees,North East,E,9454.0,1953.0,71.0,38.27,61.73,194803
4,E06000005,Darlington,North East,E,4671.0,304.0,71.07,43.82,56.18,105389
5,E06000006,Halton,North West,E,2596.0,-615.0,68.26,42.58,57.42,126528
6,E06000007,Warrington,North West,E,11838.0,3905.0,73.36,45.73,54.27,207695
7,E06000008,Blackburn with Darwen,North West,E,10904.0,3822.0,65.33,43.66,56.34,146846
8,E06000009,Blackpool,North West,E,9475.0,444.0,65.42,32.54,67.46,139578
9,E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,E,37535.0,21669.0,62.94,32.38,67.62,258995
10,E06000011,East Riding of Yorkshire,Yorkshire and The Humber,E,13580.0,5763.0,74.81,39.6,60.4,336685
11,E06000012,North East Lincolnshire,Yorkshire and The Humber,E,6719.0,2874.0,67.94,30.13,69.87,159570
12,E06000013,North Lincolnshire,Yorkshire and The Humber,E,9772.0,6524.0,71.92,33.7,66.3,169820
13,E06000014,York,Yorkshire and The Humber,E,33103.0,15761.0,70.69,58.04,41.96,206856
14,E06000015,Derby,East Midlands,E,30913.0,18013.0,70.53,42.78,57.22,254251
15,E06000016,Leicester,East Midlands,E,79161.0,38992.0,65.15,51.08,48.92,342627
16,E06000017,Rutland,East Midlands,E,2246.0,359.0,78.2,49.43,50.57,38046
17,E06000018,Nottingham,East Midlands,E,88528.0,47519.0,61.82,49.16,50.84,318901
18,E06000019,"Herefordshire, County of",West Midlands,E,15998.0,8526.0,78.36,40.78,59.22,188099
19,E06000020,Telford and Wrekin,West Midlands,E,9642.0,3801.0,72.15,36.78,63.22,171159
20,E06000021,Stoke-on-Trent,West Midlands,E,20737.0,10226.0,65.74,30.64,69.36,251648
21,E06000022,Bath and North East Somerset,South West,E,29663.0,10006.0,77.13,57.85,42.15,184874
22,E06000023,"Bristol, City of",South West,E,87901.0,36890.0,73.17,61.73,38.27,449328
23,E06000024,North Somerset,South West,E,10137.0,3695.0,77.47,47.83,52.17,209944
24,E06000025,South Gloucestershire,South West,E,17080.0,9856.0,76.24,47.32,52.68,274661
25,E06000026,Plymouth,South West,E,30010.0,8625.0,71.41,40.06,59.94,262712
26,E06000027,Torbay,South West,E,7222.0,-378.0,73.69,36.84,63.16,133373
27,E06000028,Bournemouth,South West,E,38592.0,6955.0,69.3,45.12,54.88,194516
28,E06000029,Poole,South West,E,9795.0,714.0,75.38,41.83,58.17,150577
29,E06000030,Swindon,South West,E,23551.0,10335.0,75.9,45.34,54.66,217160
30,E06000031,Peterborough,East,E,38505.0,27256.0,72.35,39.11,60.89,193980
31,E06000032,Luton,East,E,53453.0,35205.0,66.31,43.45,56.55,214710
32,E06000033,Southend-on-Sea,East,E,12602.0,-940.0,72.9,41.92,58.08,178702
33,E06000034,Thurrock,East,E,11348.0,4820.0,72.75,27.72,72.28,165184
34,E06000035,Medway,South East,E,20160.0,8255.0,72.18,35.92,64.08,276492
35,E06000036,Bracknell Forest,South East,E,12963.0,5791.0,76.11,46.06,53.94,118982
